Gene	Gene.name	Tissue	nTPM	fda	gwcat	gwasTraits	fdaGeneDesc
ENSG00000110680	CALCA	parathyroid_gland	178.3	1	1	Vitamin D levels;Diverticular disease;Hip circumference adjusted for BMI	Calcitonin related polypeptide alpha
ENSG00000197635	DPP4	parathyroid_gland	155.7	1	1	Schizophrenia;Smoking status (ever vs never smokers);Rheumatoid arthritis;Blood osmolality (transformed sodium)	Dipeptidyl peptidase 4
ENSG00000104368	PLAT	parathyroid_gland	246	1	1	Blood protein levels;Plasma plasminogen activator levels;Systemic lupus erythematosus	Plasminogen activator, tissue type
